Average Prices and Volumes of Sales,,,,,,,,,,
All Postcode Districts GREATER LONDON,,,,,,,,,,
Jul-Sep 2015,,,,,,,,,,
ALL,,,,,,,,,,
 ,Detached  ,Sales,Semi-det  ,Sales,Terraced   ,Sales,Flat/mais ,Sales,Overall Average,Total Sales
NW6,,,"2,566,667",3,"1,659,429",27,"632,016",227,"762,538",257
NW7,"1,356,263",19,"624,809",30,"575,893",14,"445,481",31,"706,230",94
NW8,"5,609,380",5,"2,662,500",2,"2,836,429",7,"1,853,486",90,"2,115,775",104
NW9,"622,500",4,"515,107",28,"419,107",37,"318,768",202,"357,237",271
OX11,,,,,"330,000",1,,,"330,000",1
OX13,,,,,"300,000",1,,,"300,000",1
RM1,"504,357",7,"381,757",35,"317,588",17,"185,463",41,"298,950",100
RM10,"302,000",1,"283,941",17,"254,520",66,"148,510",24,"236,033",108
RM11,"742,016",36,"366,967",52,"340,454",37,"201,068",38,"405,106",163
RM12,"415,313",8,"341,009",55,"303,163",46,"205,952",31,"302,914",140
RM13,"332,356",14,"284,983",30,"270,008",60,"163,352",17,"265,950",121
RM14,"653,006",30,"490,015",66,"339,083",18,"268,486",19,"474,706",133
RM2,"650,139",18,"460,727",22,"412,633",15,"234,105",23,"428,364",78
RM3,"437,918",19,"351,980",82,"284,857",72,"199,536",72,"294,119",245
RM4,"520,000",1,"385,000",1,"283,333",3,,,"351,000",5
RM5,"403,571",7,"307,811",37,"287,883",30,"180,875",4,"302,231",78
RM6,"416,000",2,"319,771",24,"329,871",62,"185,483",29,"293,483",117
RM7,"358,167",6,"297,812",21,"285,937",49,"196,797",86,"242,830",162
RM8,,,"288,455",11,"276,152",103,"181,923",13,"267,572",127
RM9,,,"257,038",8,"251,360",77,"161,714",7,"245,033",92
SE1,,,"642,000",3,"714,999",9,"686,411",321,"686,784",333
SE10,"785,000",2,"1,164,200",5,"919,186",48,"425,944",245,"519,561",300
SE11,,,,,"1,084,263",8,"510,144",62,"575,757",70
SE12,"493,500",2,"515,524",21,"456,966",41,"264,273",34,"403,407",98
SE13,"1,110,833",3,"627,400",5,"544,876",62,"319,134",130,"408,696",200
SE14,,,"516,667",3,"609,175",16,"319,671",40,"408,197",59
SE15,"876,350",3,"953,571",7,"695,698",68,"362,323",135,"495,423",213
SE16,,,"566,700",5,"643,773",22,"436,026",101,"476,837",128
SE17,,,,,"616,591",11,"440,922",90,"460,054",101
SE18,"488,750",4,"364,759",20,"322,505",92,"289,347",138,"310,435",254
SE19,"975,222",9,"617,419",13,"501,423",20,"354,267",122,"427,149",164
SE2,"363,500",1,"341,111",9,"287,158",24,"166,800",10,"272,575",44
SE20,"775,167",3,"552,667",9,"459,516",30,"282,879",63,"370,537",105
SE21,"2,376,667",9,"1,481,731",13,"791,121",21,"376,875",24,"989,717",67
SE22,"1,325,000",1,"947,573",20,"801,536",50,"427,343",72,"637,216",143
SE23,"956,000",10,"724,829",12,"633,947",53,"340,235",94,"496,090",169
SE24,"2,327,500",2,"1,410,457",10,"861,535",31,"411,244",38,"754,252",81
SE25,"535,000",1,"432,111",9,"348,413",66,"226,673",76,"293,726",152
SE26,"856,000",4,"695,137",13,"510,121",33,"337,924",64,"446,683",114
SE27,"1,900,000",1,"749,318",11,"664,096",26,"335,760",46,"510,166",84
SE28,"262,500",2,"289,900",5,"241,903",31,"190,920",25,"226,135",63
SE3,"1,478,304",13,"746,139",18,"621,452",39,"433,927",75,"616,756",145
SE4,,,"719,714",7,"629,959",50,"367,332",67,"493,123",124
SE5,,,"1,140,625",8,"869,266",33,"404,614",103,"551,986",144
SE6,"327,500",2,"516,033",15,"430,265",89,"242,813",84,"353,081",190
SE7,"439,995",1,"447,333",12,"480,640",33,"263,300",21,"405,946",67
SE8,,,,,"523,267",15,"324,905",79,"356,558",94
SE9,"558,750",6,"466,556",71,"356,175",99,"242,358",54,"368,812",230
SM1,"555,800",5,"421,081",55,"352,014",51,"240,736",84,"328,784",195
SM2,"842,640",26,"557,639",10,"414,269",13,"256,422",81,"412,621",130
SM3,"434,167",3,"458,799",20,"396,912",26,"259,821",14,"387,868",63
SM4,"541,667",3,"466,727",11,"392,023",83,"276,647",32,"373,253",129
SM5,"669,727",11,"511,366",28,"322,331",66,"240,068",61,"347,008",166
SM6,"606,763",19,"444,077",32,"346,123",28,"274,221",70,"366,617",149
SM7,"1,250,000",2,,,,,,,"1,250,000",2
SW10,,,"7,500,000",1,"3,792,250",10,"1,001,081",63,"1,466,089",74
SW11,,,"1,916,667",3,"1,228,489",78,"600,908",251,"760,241",332
SW12,"975,000",2,"1,552,222",9,"1,147,167",50,"549,648",96,"802,832",157
SW13,"3,373,750",4,"2,419,643",14,"1,432,714",28,"709,296",17,"1,580,064",63
SW14,"2,976,667",6,"1,321,119",17,"983,820",38,"620,106",35,"1,035,499",96
SW15,"1,965,333",9,"1,418,111",9,"999,952",55,"536,144",186,"714,947",259
SW16,"864,925",14,"635,986",27,"539,894",127,"338,465",270,"432,038",438
SW17,"1,995,000",2,"1,237,121",12,"771,860",99,"474,607",142,"637,819",255
SW18,"3,125,000",2,"1,882,750",14,"1,010,023",116,"551,003",282,"737,087",414
SW19,"2,555,772",19,"1,481,845",38,"823,954",125,"427,995",151,"818,292",333
SW1A,,,,,,,"1,850,000",2,"1,850,000",2
SW1E,,,,,,,"1,230,000",1,"1,230,000",1
SW1H,,,,,,,"1,033,083",3,"1,033,083",3
SW1P,,,,,"5,790,000",1,"1,215,212",57,"1,294,088",58
SW1V,,,,,"1,959,799",5,"905,839",65,"981,122",70
SW1W,,,,,"4,771,540",8,"2,074,612",33,"2,600,842",41
SW1X,,,,,"6,113,219",7,"3,979,073",16,"4,628,596",23
SW1Y,,,,,,,"1,221,250",4,"1,221,250",4
SW2,,,"975,303",13,"744,836",35,"438,517",157,"524,855",205
SW20,"2,176,036",14,"889,240",21,"723,918",64,"392,656",59,"750,861",158
SW3,"3,525,000",1,"9,200,000",1,"4,741,520",25,"1,504,305",64,"2,500,423",91
SW4,"1,883,333",3,"2,130,845",9,"1,460,474",40,"566,169",144,"840,688",196
SW5,"495,000",1,,,"2,534,333",3,"1,394,297",53,"1,438,522",57
SW6,,,"3,466,667",3,"1,717,575",89,"800,621",222,"1,085,993",314
SW7,,,,,"4,747,727",11,"1,810,524",46,"2,377,353",57
SW8,"1,700,000",1,"1,500,000",1,"868,762",17,"720,307",259,"735,714",278
SW9,"1,150,000",1,"585,000",1,"879,056",20,"461,778",96,"539,380",118
TN14,"570,000",2,,,,,,,"570,000",2
TN16,"479,418",22,"332,200",17,"309,806",16,"196,438",8,"360,683",63
TW1,"1,015,000",2,"1,098,964",14,"882,380",50,"402,696",57,"686,896",123
TW10,"2,287,286",14,"1,480,962",13,"1,055,671",26,"479,427",50,"997,022",103
TW11,"1,329,923",13,"980,298",25,"786,006",48,"447,921",45,"760,925",131
TW12,"1,148,969",16,"726,484",21,"515,975",42,"284,013",32,"580,171",111
TW13,"479,983",3,"330,807",27,"308,671",40,"218,629",34,"289,923",104
TW14,,,"361,547",31,"296,930",30,"198,415",32,"284,571",93
TW15,,,,,"310,000",1,,,"310,000",1
TW2,"731,500",6,"602,381",43,"546,135",69,"351,721",56,"503,857",174
TW3,"462,500",3,"436,558",25,"360,293",15,"234,227",35,"332,100",78
TW4,"504,983",3,"351,778",9,"301,733",15,"217,271",14,"298,750",41
TW5,"537,500",2,"431,997",19,"372,278",16,"260,165",24,"352,186",61
TW7,"795,000",2,"494,593",17,"482,312",54,"315,700",48,"423,112",121
TW8,,,"436,200",5,"579,750",16,"528,152",135,"530,497",156
TW9,"2,181,250",8,"1,681,625",14,"1,233,260",31,"587,915",60,"1,013,263",113
UB1,,,"342,500",4,"320,318",22,"196,905",11,"286,026",37
UB10,"667,875",37,"490,413",39,"361,227",39,"288,338",68,"423,674",183
UB2,"846,667",3,"572,500",6,"336,563",12,"201,507",21,"339,176",42
UB3,"332,500",2,"359,127",39,"311,478",30,"231,688",40,"299,845",111
UB4,"462,500",2,"360,398",25,"309,933",30,"234,905",38,"296,414",95
UB5,,,"372,323",37,"350,714",39,"218,941",37,"314,642",113
UB6,"429,100",5,"455,559",25,"412,746",42,"249,115",30,"375,914",102
UB7,"437,833",6,"357,371",31,"336,324",35,"263,020",72,"308,433",144
UB8,"553,167",15,"376,387",43,"347,868",28,"241,748",30,"357,542",116
UB9,"577,500",3,"405,095",10,"312,214",7,"316,806",18,"359,775",38
W10,,,,,"1,237,000",13,"579,330",64,"690,365",77
W11,"14,000,000",1,"10,835,000",2,"3,057,349",19,"1,173,691",65,"1,954,592",87
W12,,,"1,348,200",5,"1,041,157",41,"458,855",72,"698,864",118
W13,"1,725,000",3,"927,909",23,"765,969",48,"421,849",55,"670,427",129
W14,,,"3,400,000",1,"1,880,083",18,"850,358",114,"1,008,889",133
W1B,,,,,"14,000,000",1,"2,780,210",3,"5,585,158",4
W1D,,,,,"9,000,000",1,,,"9,000,000",1
W1F,,,,,,,"2,382,813",8,"2,382,813",8
W1G,,,,,,,"1,497,646",12,"1,497,646",12
W1H,,,,,"4,989,550",2,"1,616,365",26,"1,857,307",28
W1J,,,,,"6,480,000",1,"2,806,000",1,"4,643,000",2
W1K,,,,,"14,850,000",2,"3,084,160",15,"4,468,376",17
W1S,,,,,,,"1,862,500",2,"1,862,500",2
W1T,,,,,,,"990,208",12,"990,208",12
W1U,,,,,"3,930,000",1,"1,128,622",18,"1,276,063",19
W1W,,,,,"4,200,000",1,"1,426,556",9,"1,703,900",10
W2,"1,375,000",1,"6,075,000",2,"1,992,019",13,"990,106",148,"1,133,884",164
W3,"1,007,500",4,"1,079,326",28,"807,495",30,"407,788",137,"574,588",199
W4,"2,160,625",4,"2,071,534",29,"1,191,345",61,"584,338",109,"1,010,256",203
W5,"1,586,000",8,"1,013,714",21,"780,832",36,"493,558",124,"652,313",189
W6,"1,475,000",2,"1,825,000",2,"1,530,484",35,"666,293",93,"925,244",132
W7,"750,000",2,"575,917",12,"605,655",32,"335,245",26,"507,060",72
W8,"4,165,000",2,"6,125,000",2,"4,233,667",15,"2,010,753",59,"2,598,967",78
W9,"1,025,000",1,,,"2,725,000",7,"792,540",106,"913,239",114
WC1B,,,,,,,"1,322,500",2,"1,322,500",2
WC1E,,,,,,,"665,050",2,"665,050",2
WC1H,,,,,,,"506,004",22,"506,004",22
WC1N,,,,,"3,175,000",2,"763,224",22,"964,205",24
WC1R,,,,,,,"687,875",4,"687,875",4
WC1X,,,,,,,"879,734",30,"879,734",30
WC2B,,,,,,,"673,786",3,"673,786",3
WC2E,,,,,,,"1,463,400",5,"1,463,400",5
WC2H,,,,,,,"995,223",10,"995,223",10
WC2N,,,,,,,"2,040,571",7,"2,040,571",7
WC2R,,,,,,,"2,161,667",6,"2,161,667",6
WD3,,,"530,000",1,,,,,"530,000",1
Total,"984,589",1595,"607,577",4228,"637,417",8301,"483,710",16171,"569,484",30295
